,,min_Predicted_TOTAL,avg_Predicted_TOTAL,max_Predicted_TOTAL,min_GEOTHERMAL,avg_GEOTHERMAL,max_GEOTHERMAL,min_total_renewable,avg_total_renewable,max_total_renewable,min_WIND TOTAL,avg_WIND TOTAL,max_WIND TOTAL,min_SMALL HYDRO,avg_SMALL HYDRO,max_SMALL HYDRO,min_BIOMASS,avg_BIOMASS,max_BIOMASS
1,2011,1.146579,314.78086409233873,1238.0952,984.0,1058.9314516129032,1084.0,1892.0,2009.659946236559,2307.0,0.0,314.90725806451616,1244.0,347.0,431.10483870967744,518.0,310.0,367.9045698924731,417.0
1,2016,4.254025,977.1896165094086,3654.784,982.0,1058.478494623656,1100.0,1486.0,2783.521505376344,7298.0,6.0,973.994623655914,3698.0,90.0,227.32392473118279,413.0,166.0,207.26075268817203,258.0
1,2017,36.49609,1042.62655359543,3394.3274,923.0,987.989247311828,1010.0,1517.0,3269.2002688172042,9898.0,32.0,1041.266129032258,3473.0,181.0,339.9744623655914,509.0,160.0,205.1438172043011,255.0
1,2018,6.834376,715.2008520416666,3060.099,854.0,942.0234375,992.0,1681.0,3431.03125,9119.0,0.0,715.9427083333334,3226.0,237.0,374.5234375,575.0,271.0,325.3723958333333,376.0
2,2011,4.3458023,615.2353855659227,1734.304,771.0,1067.8779761904761,1095.0,1901.0,2096.528273809524,2403.0,4.0,615.21875,1781.0,354.0,432.5922619047619,520.0,281.0,360.07886904761904,415.0
2,2012,17.233082,865.8272134425288,2273.1375,914.0,992.3068275443295,1016.0,1630.0,1816.9441864202429,2089.0,15.0,862.1852532708294,2338.0,160.690610703,224.51825569285214,315.0,274.0,356.9399768556964,419.0
2,2013,11.378317,1086.0085094717263,3534.6375,869.0,922.2708333333334,932.0,1626.0,2149.1041666666665,3261.0,4.0,1089.825892857143,3617.0,229.0,343.35863095238096,471.0,254.0,297.4434523809524,349.0
2,2014,12.355528,1242.053134404762,3057.298,831.0,876.4092261904761,902.0,1409.0,2391.910714285714,5152.0,9.0,1240.1294642857142,3073.0,40.0,128.1875,242.0,239.0,317.3779761904762,374.0
2,2015,4.601838,915.3381735312499,3952.943,942.0,1056.141369047619,1071.0,1462.0,3105.7291666666665,6877.0,6.0,919.4017857142857,3979.0,75.0,202.08333333333334,375.0,170.0,259.6860119047619,330.0
2,2016,21.478971,793.3915158031609,3487.2314,918.0,1055.1350574712644,1081.0,1555.0,3703.7097701149423,8338.0,32.0,803.3390804597701,3542.0,179.0,300.9655172413793,463.0,176.0,225.39511494252875,259.0
2,2017,102.14004,1274.4379107068453,3276.7578,779.0,904.2395833333334,1002.0,1507.0,3563.403273809524,10228.0,69.0,1269.6443452380952,3326.0,273.0,413.48363095238096,561.0,129.0,195.0014880952381,238.0
3,2011,0.07795709,858.6327673563038,1902.0151,0.0,1054.7379032258063,1084.0,0.0,2052.22311827957,2361.0,0.0,852.8870967741935,1928.0,0.0,431.2043010752688,487.0,0.0,329.2970430107527,396.0
